LUGAR DONDE OCURRIO EL ACCCIDENTE;CANTIDAD;MES;AÒO
LA VEGA (Constanza, Jarabacoa, Jima Abajo);105;ENERO ;2019
MONSE—OR NOUEL (Bonao);18;ENERO ;2019
SANCHEZ RAMIREZ (Cotui);5;ENERO ;2019
Otras PROVINCIAS ;26;ENERO ;2019
LA VEGA (Constanza, Jarabacoa, Jima Abajo);91;FEBRERO;2019
MONSE—OR NOUEL (Bonao);25;FEBRERO;2019
SANCHEZ RAMIREZ (Cotui);0;FEBRERO;2019
Otras PROVINCIAS ;77;FEBRERO;2019
LA VEGA (Constanza, Jarabacoa, Jima Abajo);61;MARZO;2019
MONSE—OR NOUEL (Bonao);18;MARZO;2019
SANCHEZ RAMIREZ (Cotui);6;MARZO;2019
Otras PROVINCIAS ;64;MARZO;2019
PROVINCIA DE LA VEGA (Constanza, Jarabacoa, Jima Abajo);73;ABRIL;2019
PROVINCIA MONSE—OR NOUEL (Bonao);12;ABRIL;2019
PROVINCIA SANCHEZ RAMIREZ (Cotui);5;ABRIL;2019
Otras PROVINCIAS ;58;ABRIL;2019
PROVINCIA DE LA VEGA (Constanza, Jarabacoa, Jima Abajo);64;MAYO;2019
PROVINCIA MONSE—OR NOUEL (Bonao);21;MAYO;2019
PROVINCIA SANCHEZ RAMIREZ (Cotui);2;MAYO;2019
Otras PROVINCIAS ;59;MAYO;2019
PROVINCIA DE LA VEGA (Constanza, Jarabacoa, Jima Abajo);79;JUNIO;2019
PROVINCIA MONSE—OR NOUEL (Bonao);12;JUNIO;2019
PROVINCIA SANCHEZ RAMIREZ (Cotui);3;JUNIO;2019
Otras PROVINCIAS ;58;JUNIO;2019
PROVINCIA DE LA VEGA (Constanza, Jarabacoa, Jima Abajo);46;JULIO;2019
PROVINCIA MONSE—OR NOUEL (Bonao);11;JULIO;2019
PROVINCIA SANCHEZ RAMIREZ (Cotui);7;JULIO;2019
Otras PROVINCIAS ;58;JULIO;2019
