MODO DE TRANSPORTE DE LOS AFECTADOS (tipo de vehiculo);CANTIDAD;MES;AÒO
MOTOCICLISTAS;122;ENERO ;2019
AUTOMOVIL;20;ENERO ;2019
VEHICULO PESADO (AUTOBUS, CAMION);4;ENERO ;2019
ATROPELLAMIENTO (GOLPE PEATON);6;ENERO ;2019
OTROS (BICICLETA ETC);2;ENERO ;2019
MOTOCICLISTAS;168;FEBRERO;2019
AUTOMOVIL;14;FEBRERO;2019
VEHICULO PESADO (AUTOBUS, CAMION);5;FEBRERO;2019
ATROPELLAMIENTO (GOLPE PEATON);6;FEBRERO;2019
OTROS (BICICLETA ETC);0;FEBRERO;2019
MOTOCICLISTAS;110;MARZO;2019
AUTOMOVIL;9;MARZO;2019
VEHICULO PESADO (AUTOBUS, CAMION);24;MARZO;2019
ATROPELLAMIENTO (GOLPE PEATON);6;MARZO;2019
OTROS (BICICLETA ETC);0;MARZO;2019
MOTOCICLISTAS;120;ABRIL;2019
AUTOMOVIL;20;ABRIL;2019
VEHICULO PESADO (AUTOBUS, CAMION);4;ABRIL;2019
ATROPELLAMIENTO (GOLPE PEATON);5;ABRIL;2019
OTROS (BICICLETA ETC);1;ABRIL;2019
MOTOCICLISTAS;108;MAYO;2019
AUTOMOVIL;17;MAYO;2019
VEHICULO PESADO (AUTOBUS, CAMION);11;MAYO;2019
ATROPELLAMIENTO (GOLPE PEATON);12;MAYO;2019
OTROS (BICICLETA ETC);0;MAYO;2019
MOTOCICLISTAS;35;JUNIO;2019
AUTOMOVIL;122;JUNIO;2019
VEHICULO PESADO (AUTOBUS, CAMION);1;JUNIO;2019
ATROPELLAMIENTO (GOLPE PEATON);5;JUNIO;2019
OTROS (BICICLETA ETC);5;JUNIO;2019
MOTOCICLISTAS;88;JULIO;2019
AUTOMOVIL;23;JULIO;2019
VEHICULO PESADO (AUTOBUS, CAMION);8;JULIO;2019
ATROPELLAMIENTO (GOLPE PEATON);2;JULIO;2019
OTROS (BICICLETA ETC);1;JULIO;2019
