,start,type,name,fstring,desc
0,1,<class 'int'>,caseid,%12s,RESPONDENT ID NUMBER
1,13,<class 'int'>,pregordr,%2f,PREGNANCY ORDER (NUMBER)
2,15,<class 'int'>,howpreg_n,%2f,BB-2 # OF WEEKS OR MONTHS CURRENTLY PREGNANT
3,17,<class 'int'>,howpreg_p,%1f,BB-2 CURRENT PREGNANCY LENGTH REPORTED IN MONTHS OR WEEKS
4,18,<class 'int'>,moscurrp,%1f,NUMBER OF MONTHS CURRENTLY PREGNANT
5,19,<class 'int'>,nowprgdk,%1f,BB-3 WHICH TRIMESTER -- CURRENT PREGNANCY
6,20,<class 'int'>,pregend1,%1f,BC-1 HOW PREGNANCY ENDED - 1ST MENTION
7,21,<class 'int'>,pregend2,%1f,BC-1 HOW PREGNANCY ENDED - 2ND MENTION
8,22,<class 'int'>,nbrnaliv,%1f,BC-2 NUMBER OF BABIES BORN ALIVE FROM THIS PREGNANCY
9,23,<class 'int'>,multbrth,%1f,BC-3 WAS THIS A MULTIPLE BIRTH
10,24,<class 'int'>,cmotpreg,%4f,CM FOR PREGNANCY END DATE (IF NONLIVEBIRTH)
11,28,<class 'int'>,prgoutcome,%1f,OUTCOME OF PREGNANCY (BASED ON PRIORITY ORDERING)
12,29,<class 'int'>,cmprgend,%4f,CM FOR PREGNANCY END DATE (REGARDLESS OF OUTCOME)
13,33,<class 'int'>,flgdkmo1,%1f,FLAG INDICATING SEASON/DK/RF FOR BC-4A DATPRGEN_M
14,34,<class 'int'>,cmprgbeg,%4f,CM FOR PREGNANCY START DATE
15,38,<class 'int'>,ageatend,%2f,BC-4B R'S AGE AT PREGNANCY'S END DATE
16,40,<class 'int'>,hpageend,%2f,BC-4C FATHER'S AGE AT PREGNANCY'S END DATE
17,42,<class 'int'>,gestasun_m,%2f,BC-5 GESTATIONAL LENGTH OF PREGNANCY IN MONTHS
18,44,<class 'int'>,gestasun_w,%2f,BC-5 GESTATIONAL LENGTH OF PREGNANCY IN WEEKS
19,46,<class 'int'>,wksgest,%2f,GESTATIONAL LENGTH OF COMPLETED PREGNANCY (IN WEEKS)
20,48,<class 'int'>,mosgest,%2f,GESTATIONAL LENGTH OF COMPLETED PREGNANCY (IN MONTHS)
21,50,<class 'int'>,dk1gest,%1f,BC-6 DK FOLLOWUP FOR GESTATIONAL LENGTH OF A STILLBIRTH
22,51,<class 'int'>,dk2gest,%1f,BC-7 DK FOLLOWUP FOR GESTATIONAL LENGTH OF A LIVEBIRTH
23,52,<class 'int'>,dk3gest,%1f,BC-8 DK FOLLOWUP FOR GESTATIONAL LENGTH OF A MISCARR/ABOR/ECTOP
24,53,<class 'int'>,bpa_bdscheck1,%1f,WHETHER 1ST LIVEBORN BABY FROM THIS PREGNANCY WAS BPA OR BDS
25,54,<class 'int'>,bpa_bdscheck2,%1f,WHETHER 2ND LIVEBORN BABY FROM THIS PREGNANCY WAS BPA OR BDS
26,55,<class 'int'>,bpa_bdscheck3,%1f,WHETHER 3RD LIVEBORN BABY FROM THIS PREGNANCY WAS BPA OR BDS
27,56,<class 'int'>,babysex,%1f,BD-2 SEX OF 1ST LIVEBORN BABY FROM THIS PREGNANCY
28,57,<class 'int'>,birthwgt_lb,%2f,BD-3 BIRTHWEIGHT IN POUNDS - 1ST BABY FROM THIS PREGNANCY
29,59,<class 'int'>,birthwgt_oz,%2f,BD-3 BIRTHWEIGHT IN OUNCES - 1ST BABY FROM THIS PREGNANCY
30,61,<class 'int'>,lobthwgt,%1f,BD-4 IS BABY LOW BIRTHWEIGHT- 1ST BABY FROM THIS PREGNANCY
31,62,<class 'int'>,babysex2,%1f,BD-2 SEX OF 2ND LIVEBORN BABY FROM THIS PREGNANCY
32,63,<class 'int'>,birthwgt_lb2,%2f,BD-3 BIRTHWEIGHT IN POUNDS - 2ND BABY FROM THIS PREGNANCY
33,65,<class 'int'>,birthwgt_oz2,%2f,BD-3 BIRTHWEIGHT IN OUNCES - 2ND BABY FROM THIS PREGNANCY
34,67,<class 'int'>,lobthwgt2,%1f,BD-4 IS BABY LOW BIRTHWEIGHT- 2ND BABY FROM THIS PREGNANCY
35,68,<class 'int'>,babysex3,%1f,BD-2 SEX OF 3RD LIVEBORN BABY FROM THIS PREGNANCY
36,69,<class 'int'>,birthwgt_lb3,%2f,BD-3 BIRTHWEIGHT IN POUNDS - 3RD BABY FROM THIS PREGNANCY
37,71,<class 'int'>,birthwgt_oz3,%2f,BD-3 BIRTHWEIGHT IN OUNCES - 3RD BABY FROM THIS PREGNANCY
38,73,<class 'int'>,lobthwgt3,%1f,BD-4 IS BABY LOW BIRTHWEIGHT- 3RD BABY FROM THIS PREGNANCY
39,74,<class 'int'>,cmbabdob,%4f,CM FOR BABY'S OR BABIES' DATE OF BIRTH (DELIVERY DATE)
40,78,<class 'int'>,kidage,%4f,CURRENT AGE (IN MOS) OF R'S CHILD(REN) FROM THIS PREGNANCY
41,82,<class 'int'>,hpagelb,%2f,BD-6 FATHER'S AGE AT TIME OF CHILD(REN) S BIRTH
42,84,<class 'int'>,birthplc,%1f,BD-7 PLACE WHERE R GAVE BIRTH
43,85,<class 'int'>,paybirth1,%1f,BD-8 PAYMENT FOR DELIVERY - 1ST MENTION
44,86,<class 'int'>,paybirth2,%1f,BD-8 PAYMENT FOR DELIVERY - 2ND MENTION
45,87,<class 'int'>,paybirth3,%1f,BD-8 PAYMENT FOR DELIVERY - 3RD MENTION
46,88,<class 'int'>,knewpreg,%2f,BE-1 WEEKS PREGNANT WHEN R LEARNED SHE WAS PREGNANT
47,90,<class 'int'>,trimestr,%1f,BE-2A DK FOLLOWUP FOR KNEWPREG WHEN GESTATION >= 6 MOS
48,91,<class 'int'>,ltrimest,%1f,BE-2B DK FOLLOWUP FOR KNEWPREG WHEN GESTATION < 6 MOS
49,92,<class 'int'>,priorsmk,%1f,BE-3 AMOUNT R'SMOKED IN 6 MOS BEFORE R KNEW SHE WAS PREGNANT
50,93,<class 'int'>,postsmks,%1f,BE-4 R'SMOKED AT ALL AFTER R KNEW SHE WAS PREGNANT
51,94,<class 'int'>,npostsmk,%1f,BE-5 AMOUNT R'SMOKED DURING PREGNANCY AFTER R KNEW SHE WAS PREG
52,95,<class 'int'>,getprena,%1f,BE-6 ANY PRENATAL CARE FOR THIS PREGNANCY
53,96,<class 'int'>,bgnprena,%2f,BE-7 WEEKS PREGNANT AT FIRST PRENATAL CARE VISIT
54,98,<class 'int'>,pnctrim,%1f,BE-8A DK FOLLOWUP FOR BGNPRENA WHEN GESTATION >= 6 MOS
55,99,<class 'int'>,lpnctri,%1f,BE-8B DK FOLLOWUP FOR BGNPRENA WHEN GESTATION < 6 MOS
56,100,<class 'int'>,workpreg,%1f,BF-1 R WORKED AT ALL DURING THIS PREGNANCY
57,101,<class 'int'>,workborn,%1f,BF-2 MATERNITY LEAVE TAKEN FOR THIS PREGNANCY
58,102,<class 'int'>,didwork,%1f,BF-3 WHY NO MATERNITY LEAVE WAS TAKEN FOR THIS PREGNANCY
59,103,<class 'int'>,matweeks,%2f,BF-4 WEEKS OF MATERNITY LEAVE TAKEN FOR THIS PREGNANCY
60,105,<class 'int'>,weeksdk,%1f,BF-5 DK FOLLOWUP - WAS MATERNITY LEAVE <=4 OR > 4 WEEKS
61,106,<class 'int'>,matleave,%2f,BF-6 WEEKS OF PAID MATERNITY LEAVE FOR THIS PREGNANCY
62,108,<class 'int'>,matchfound,%1f,CHECK ON WHETHER CHILD MATCHES BIO CHILD IN HH ROSTER - 1ST
63,109,<class 'int'>,livehere,%1f,BG-1 WHETHER CHILD LIVES WITH R - 1ST FROM THIS PREGNANCY
64,110,<class 'int'>,alivenow,%1f,BG-2 WHETHER CHILD IS STILL ALIVE - 1ST FROM THIS PREGNANCY
65,111,<class 'int'>,cmkidied,%4f,CM FOR CHLD'S DATE OF DEATH - 1ST FROM THIS PREGNANCY
66,115,<class 'int'>,cmkidlft,%4f,CM FOR DATE CHILD STOPPED LIVING W/R - 1ST FROM THIS PREGNANCY
67,119,<class 'int'>,lastage,%3f,AGE (IN MOS) WHEN CHILD LAST LIVED W/R-1ST FROM THIS PREGNANCY
68,122,<class 'int'>,wherenow,%1f,BG-5 WHERE CHILD LIVES NOW - 1ST FROM THIS PREGNANCY
69,123,<class 'int'>,legagree,%1f,BG-6 LEGAL AGREEMENT FOR WHERE CHILD LIVES - 1ST FROM THIS PREG
70,124,<class 'int'>,parenend,%1f,BG-7 IS R STILL LEGAL MOTHER OF CHILD - 1ST FROM THIS PREGNANCY
71,125,<class 'int'>,anynurse,%1f,BH-1 WHETHER R BREASTFED THIS CHILD AT ALL - 1ST FROM THIS PREG
72,126,<class 'int'>,fedsolid,%1f,BH-2 HAS R BEGUN SUPPLEMENTATION FOR CHILD - 1ST FROM THIS PREG
73,127,<class 'int'>,frsteatd_n,%3f,BH-3 AGE (MOS/WKS/DAY) WHEN 1ST SUPPLEMENTED - 1ST FROM THIS PREG
74,130,<class 'int'>,frsteatd_p,%1f,BH-3 UNITS (MOS/WKS/DAYS) FOR FRSTEATD_N - 1ST FROM THIS PREG
75,131,<class 'int'>,frsteatd,%3f,AGE (IN MOS) WHEN 1ST SUPPLEMENTED - 1ST FROM THIS PREG
76,134,<class 'int'>,quitnurs,%1f,BH-4 HAS R'STOPPED BREASTFEEDING CHILD - 1ST FROM THIS PREG
77,135,<class 'int'>,ageqtnur_n,%3f,BH-5 AGE (MOS/WKS/DAY) WHEN STOPPED BREASTFEEDING - 1ST FROM THIS PREG
78,138,<class 'int'>,ageqtnur_p,%1f,BH-5 UNITS (MOS/WKS/DAYS) FOR AGEQTNUR_N - 1ST FROM THIS PREG
79,139,<class 'int'>,ageqtnur,%3f,AGE (IN MOS) WHEN R'STOPPED NURSING CHILD - 1ST FROM THIS PREG
80,142,<class 'int'>,matchfound2,%1f,CHECK ON WHETHER CHILD MATCHES BIO CHILD IN HH ROSTER - 2ND
81,143,<class 'int'>,livehere2,%1f,BG-1 WHETHER CHILD LIVES WITH R - 2ND FROM THIS PREGNANCY
82,144,<class 'int'>,alivenow2,%1f,BG-2 WHETHER CHILD IS STILL ALIVE - 2ND FROM THIS PREGNANCY
83,145,<class 'int'>,cmkidied2,%4f,CM FOR CHLD'S DATE OF DEATH - 2ND FROM THIS PREGNANCY
84,149,<class 'int'>,cmkidlft2,%4f,CM FOR DATE CHILD STOPPED LIVING W/R - 2ND FROM THIS PREGNANCY
85,153,<class 'int'>,lastage2,%3f,AGE (IN MOS) WHEN CHILD LAST LIVED W/R - 2ND FROM THIS PREGNANCY
86,156,<class 'int'>,wherenow2,%1f,BG-5 WHERE CHILD LIVES NOW - 2ND FROM THIS PREGNANCY
87,157,<class 'int'>,legagree2,%1f,BG-6 LEGAL AGREEMENT FOR WHERE CHILD LIVES - 2ND FROM THIS PREG
88,158,<class 'int'>,parenend2,%1f,BG-7 IS R STILL LEGAL MOTHER OF CHILD - 2ND FROM THIS PREGNANCY
89,159,<class 'int'>,anynurse2,%1f,BH-1 WHETHER R BREASTFED THIS CHILD AT ALL - 2ND FROM THIS PREG
90,160,<class 'int'>,fedsolid2,%1f,BH-2 HAS R BEGUN SUPPLEMENTATION FOR CHILD - 2ND FROM THIS PREG
91,161,<class 'int'>,frsteatd_n2,%2f,BH-3 AGE (MOS/WKS/DAY) WHEN 1ST SUPPLEMENTED - 2ND FROM THIS PREG
92,163,<class 'int'>,frsteatd_p2,%1f,BH-3 UNITS (MOS/WKS/DAYS) FOR FRSTEATD_N - 2ND FROM THIS PREG
93,164,<class 'int'>,frsteatd2,%2f,AGE (IN MOS) WHEN 1ST SUPPLEMENTED - 2ND FROM THIS PREG
94,166,<class 'int'>,quitnurs2,%1f,BH-4 HAS R'STOPPED BREASTFEEDING CHILD - 2ND FROM THIS PREG
95,167,<class 'int'>,ageqtnur_n2,%2f,BH-5 AGE (MOS/WKS/DAY) WHEN STOPPED BREASTFEEDING - 2ND FROM THIS PREG
96,169,<class 'int'>,ageqtnur_p2,%1f,BH-5 UNITS (MOS/WKS/DAYS) FOR AGEQTNUR_N - 2ND FROM THIS PREG
